,evals,X,fX
10,10,"[0.0473222  0.74072997 0.96370431 0.58870399 0.07651413 0.82353163
 0.16030782 0.84469626 0.92703238 0.18555309 0.28068419 0.55625517
 0.53614163 0.09661954 0.5014633  0.93839643 0.96856725 0.25132404
 0.37374741 0.28888021 0.00196045 0.23116468 0.07273116 0.15439728
 0.37660604 0.8776797  0.45875591 0.96584451 0.54507086 0.59765236
 0.78073423 0.00521334 0.37279021 0.01843078 0.31978076 0.33115122
 0.29177177 0.86343151 0.45218831 0.22350646 0.94834593 0.25195049
 0.30740972 0.56737282 0.24438724 0.31728474 0.74589382 0.46570713
 0.96794692 0.74998073 0.20481775 0.40541856 0.75788584 0.24484457
 0.93519607 0.44904589 0.5695909  0.8647773  0.28267218 0.94549387]",[9.39146799]
11,11,"[0.11807583 0.74042708 0.9155524  0.49027617 0.07651413 0.83299371
 0.16030782 0.44289855 0.96084233 0.18555309 0.06846291 0.55625517
 0.53614163 0.01703275 0.5014633  0.94662413 0.96856725 0.25132404
 0.37374741 0.24408554 0.00196045 0.23116468 0.07273116 0.15439728
 0.37660604 0.8776797  0.28874071 0.79707533 0.54507086 0.59765236
 0.78073423 0.00521334 0.61494845 0.01843078 0.04219121 0.34097043
 0.29177177 0.99399573 0.45218831 0.00835883 0.94834593 0.25195049
 0.48141906 0.56737282 0.23598403 0.31728474 0.74589382 0.46570713
 0.96794692 0.74998073 0.20481775 0.40541856 0.68590112 0.13965932
 0.93519607 0.44904589 0.5695909  0.8647773  0.24868763 0.6419993 ]",[12.72838313]
12,12,"[0.20886971 0.5407373  0.96370431 0.28572403 0.35031565 0.89115659
 0.48263402 0.14034756 0.77268846 0.06217619 0.04826417 0.55625517
 0.3817898  0.52626194 0.5014633  0.93839643 0.91919095 0.19544077
 0.37374741 0.24408554 0.34431373 0.38444227 0.07273116 0.15439728
 0.08725567 0.39214188 0.45875591 0.96584451 0.54507086 0.14466875
 0.79349914 0.17925499 0.99385912 0.19518433 0.04219121 0.33115122
 0.13425384 0.70475759 0.44375744 0.00835883 0.79524506 0.25195049
 0.30740972 0.99529237 0.23598403 0.10371275 0.54950597 0.40567607
 0.96794692 0.54441984 0.20481775 0.58694988 0.62527587 0.24484457
 0.93519607 0.70325505 0.6397846  0.42687603 0.36754209 0.94549387]",[8.22585371]
13,13,"[0.20886971 0.5407373  0.96370431 0.28572403 0.07651413 0.7223842
 0.52862999 0.44289855 0.77268846 0.06217619 0.04826417 0.55625517
 0.24384511 0.08092793 0.5014633  0.93839643 0.74593846 0.25132404
 0.16964443 0.65051609 0.01430256 0.38444227 0.07273116 0.20226043
 0.21482836 0.8776797  0.45875591 0.96584451 0.54507086 0.59765236
 0.87174015 0.17925499 0.61494845 0.00307649 0.04219121 0.79335716
 0.13425384 0.93267522 0.44544036 0.00835883 0.94834593 0.25195049
 0.30740972 0.49796681 0.59460192 0.33552412 0.54859861 0.40567607
 0.98214193 0.74998073 0.20481775 0.58694988 0.75788584 0.74914891
 0.77748191 0.70325505 0.6397846  0.8647773  0.36754209 0.94549387]",[6.96039964]
14,14,"[0.20886971 0.5407373  0.96370431 0.39553236 0.06528599 0.7223842
 0.48263402 0.44289855 0.77268846 0.06217619 0.04826417 0.5839588
 0.53614163 0.18723806 0.5014633  0.93839643 0.91919095 0.41027356
 0.34663538 0.39514634 0.16570987 0.38444227 0.07273116 0.6120935
 0.37660604 0.8776797  0.45875591 0.96584451 0.54507086 0.62574955
 0.82475116 0.17925499 0.32784994 0.0933278  0.04219121 0.33115122
 0.13425384 0.86343151 0.44012203 0.00835883 0.94834593 0.18725429
 0.30740972 0.49796681 0.23598403 0.40873374 0.54859861 0.73390578
 0.48076417 0.74998073 0.27809365 0.58694988 0.97363311 0.24484457
 0.93519607 0.70325505 0.84835526 0.8647773  0.36754209 0.94549387]",[2.38752652]
15,15,"[0.10177265 0.5407373  0.96370431 0.28572403 0.07651413 0.52551972
 0.48263402 0.44289855 0.51937771 0.20478454 0.04826417 0.55625517
 0.53614163 0.08092793 0.5014633  0.93839643 0.91919095 0.25132404
 0.37374741 0.24408554 0.01430256 0.38444227 0.21469952 0.15439728
 0.32221771 0.77763594 0.3851555  0.51515511 0.54507086 0.59765236
 0.87174015 0.17925499 0.61494845 0.04251137 0.04219121 0.33115122
 0.12141352 0.86343151 0.44544036 0.17187149 0.94834593 0.25195049
 0.30740972 0.18979385 0.23116041 0.10371275 0.54859861 0.40567607
 0.96794692 0.74998073 0.20481775 0.58694988 0.99402296 0.24484457
 0.93519607 0.83595362 0.6397846  0.70477146 0.78085166 0.94747807]",[1.83463831]
16,16,"[0.20886971 0.5407373  0.96370431 0.28572403 0.07651413 0.7223842
 0.49118188 0.44289855 0.77268846 0.06217619 0.04826417 0.67948031
 0.53614163 0.03042062 0.23370335 0.93839643 0.79569498 0.55173333
 0.49488275 0.24408554 0.01430256 0.38444227 0.07273116 0.15439728
 0.37660604 0.8776797  0.45875591 0.96584451 0.54507086 0.59765236
 0.88328763 0.17654872 0.88253256 0.00307649 0.04219121 0.33115122
 0.13425384 0.30002525 0.44544036 0.1358413  0.94834593 0.25195049
 0.08532585 0.23387587 0.23598403 0.10371275 0.57852638 0.56425249
 0.96794692 0.74998073 0.72802868 0.58694988 0.32056822 0.61259786
 0.4379593  0.76821075 0.6397846  0.8647773  0.36754209 0.94549387]",[5.85018082]
17,17,"[0.73385536 0.5407373  0.96370431 0.28572403 0.07651413 0.7223842
 0.48263402 0.44289855 0.77268846 0.06217619 0.04826417 0.55625517
 0.53614163 0.08092793 0.5014633  0.93839643 0.91919095 0.25132404
 0.2219993  0.0502509  0.42919797 0.38444227 0.07273116 0.15439728
 0.37660604 0.82903301 0.45875591 0.4529626  0.54507086 0.90925789
 0.79965222 0.17925499 0.29847154 0.00307649 0.04219121 0.33115122
 0.24205822 0.86343151 0.44544036 0.3886764  0.87189565 0.25195049
 0.30740972 0.49796681 0.23598403 0.10371275 0.54859861 0.40567607
 0.96794692 0.74998073 0.20481775 0.58694988 0.75788584 0.04860594
 0.93519607 0.70325505 0.6397846  0.7656746  0.36754209 0.94402763]",[7.77148189]
18,18,"[0.37129155 0.5407373  0.96676434 0.28572403 0.1604225  0.7223842
 0.48263402 0.44289855 0.64504221 0.06217619 0.04826417 0.55625517
 0.53614163 0.08092793 0.5014633  0.93839643 0.91919095 0.46046564
 0.37374741 0.24408554 0.40229344 0.38444227 0.10353118 0.15439728
 0.37660604 0.36914246 0.18260923 0.96584451 0.36283423 0.99071341
 0.87174015 0.17925499 0.56845453 0.00307649 0.04219121 0.33115122
 0.14515703 0.663293   0.44926472 0.00835883 0.54569297 0.75136581
 0.30740972 0.49796681 0.23598403 0.05555275 0.55322322 0.40567607
 0.69861928 0.49599744 0.20481775 0.39998962 0.52372071 0.24484457
 0.93519607 0.70325505 0.6397846  0.8647773  0.36754209 0.94549387]",[5.8431111]
19,19,"[0.20886971 0.5407373  0.96370431 0.28572403 0.07651413 0.7223842
 0.49327899 0.44289855 0.77268846 0.06217619 0.48951479 0.54896585
 0.53614163 0.08092793 0.5014633  0.57082877 0.91919095 0.71327784
 0.09908958 0.52998312 0.30206382 0.38444227 0.07273116 0.25858837
 0.51508521 0.54460251 0.45875591 0.96584451 0.54507086 0.44473422
 0.87174015 0.17925499 0.61494845 0.12540664 0.04219121 0.33115122
 0.13425384 0.54302566 0.44544036 0.00835883 0.8901473  0.25195049
 0.30740972 0.49796681 0.23598403 0.25171997 0.54859861 0.40567607
 0.96794692 0.74998073 0.20481775 0.58694988 0.75788584 0.24484457
 0.93519607 0.70325505 0.6397846  0.68340623 0.36754209 0.94549387]",[7.08515533]
