,evals,X,fX
30,30,"[0.97907879 0.7901556  0.33178774 0.83972382 0.08422558 0.03584565
 0.58912078 0.10236259 0.59235412 0.60573807 0.32425226 0.93055583
 0.42202509 0.67025308 0.93258463 0.72999123 0.55865253 0.65641323
 0.87932929 0.02390907 0.95288362 0.94605051 0.78584848 0.8088213
 0.76749641 0.15198633 0.49958792 0.90614924 0.78337787 0.47063497
 0.20821091 0.2172251  0.53483269 0.46551363 0.08673552 0.66413443
 0.18917126 0.42262565 0.73676201 0.70413406 0.07980729 0.68351043
 0.33471767 0.61428379 0.70487692 0.1935337  0.27868533 0.228027
 0.2018803  0.53472285 0.19250549 0.5330512  0.16092814 0.69014711
 0.4025564  0.86829015 0.45314909 0.06777992 0.82673688 0.04455597]",[16.44868586]
31,31,"[0.02042076 0.24481538 0.72748273 0.33245916 0.69275416 0.56814116
 0.22950956 0.51949494 0.22937216 0.2006829  0.74827788 0.23129762
 0.54116248 0.37080231 0.37568205 0.48001234 0.20818845 0.29487259
 0.31336729 0.84536053 0.11925652 0.08901681 0.38278345 0.30592891
 0.22628332 0.83017228 0.90335356 0.08940488 0.22459497 0.98770378
 0.76955348 0.60238501 0.28875562 0.99372622 0.66458872 0.23628285
 0.60267827 0.87212466 0.1329278  0.39069806 0.51859687 0.33772614
 0.77705556 0.26824433 0.08229447 0.51102064 0.71416376 0.90480479
 0.97610141 0.43933924 0.9408908  0.06445353 0.85547962 0.40744598
 0.97865917 0.2473932  0.8100624  0.9269537  0.23020608 0.87268333]",[4.52054964]
32,32,"[0.20073576 0.70567812 0.23077838 0.77020418 0.71446575 0.87720782
 0.72128199 0.1776801  0.7321013  0.07741692 0.47963827 0.57322099
 0.80213874 0.65938118 0.39666162 0.77565749 0.60993694 0.11520911
 0.22734885 0.47521418 0.33348994 0.6445508  0.84538981 0.41498871
 0.62753385 0.2601503  0.56444766 0.92716055 0.21127716 0.75896618
 0.50827232 0.74639369 0.89505316 0.27687728 0.1815387  0.37214267
 0.28135443 0.04813332 0.47725701 0.75099117 0.33500525 0.29782875
 0.06840874 0.82733026 0.15654657 0.5798207  0.27893663 0.81902736
 0.81024521 0.85560172 0.7732449  0.69183859 0.39413192 0.05306763
 0.09330272 0.11668708 0.85839896 0.63675277 0.49269013 0.39031631]",[9.13728429]
33,33,"[0.63974404 0.17187332 0.90828041 0.16400503 0.13090433 0.27691865
 0.28614012 0.66313542 0.28615917 0.68625397 0.59197049 0.40223364
 0.19424814 0.13341893 0.83722111 0.29461373 0.11590702 0.60431784
 0.66163139 0.67247321 0.86636759 0.24487262 0.17634944 0.87283997
 0.31533119 0.73546421 0.25435359 0.12375    0.82400408 0.46296259
 0.22656286 0.11895988 0.38304426 0.86975765 0.96111042 0.73596855
 0.97575683 0.92563072 0.57773006 0.40128737 0.97018487 0.68035763
 0.61536532 0.06389229 0.94877106 0.48743361 0.75000386 0.32263952
 0.11930792 0.18891139 0.0494571  0.04318764 0.88498225 0.89271269
 0.911535   0.5137491  0.21722219 0.3622957  0.92218428 0.59422324]",[8.88446955]
34,34,"[0.07576536 0.93547152 0.14833849 0.28807409 0.84538942 0.11091144
 0.5768469  0.1514693  0.7501798  0.0302427  0.7486839  0.39918491
 0.45392824 0.73646273 0.43390532 0.12359521 0.01639604 0.01375039
 0.47536603 0.44704131 0.98115338 0.01569896 0.11023284 0.69110637
 0.02677041 0.15824795 0.82072574 0.46726149 0.07203414 0.42549574
 0.47860441 0.67295917 0.83783404 0.58380995 0.15516087 0.27136053
 0.84033507 0.20561669 0.92999349 0.80004455 0.28152322 0.37339036
 0.03193604 0.1746665  0.04699832 0.90509165 0.39038812 0.89246816
 0.46885696 0.39538108 0.50180193 0.82096872 0.48711148 0.4440824
 0.6752872  0.04968956 0.71104657 0.16469373 0.92085646 0.24417215]",[5.6430925]
35,35,"[0.5815074  0.15254474 0.57682613 0.9287521  0.04842579 0.66337777
 0.11136774 0.57563446 0.32611827 0.75627558 0.25634159 0.89564174
 0.89462083 0.26830034 0.61904441 0.95877665 0.5864875  0.65941164
 0.58193366 0.87456743 0.4913326  0.70426033 0.52764497 0.0182706
 0.88746355 0.77548909 0.39491636 0.83155518 0.84359754 0.71333613
 0.79744114 0.46041798 0.49036631 0.44917009 0.92609536 0.94205186
 0.05673406 0.85881768 0.48354654 0.18700188 0.81747772 0.63491999
 0.50297393 0.8170693  0.62321206 0.15100921 0.64358261 0.4439806
 0.81893106 0.56472167 0.35407341 0.45121976 0.935975   0.93326168
 0.23058103 0.73789684 0.32915263 0.91291391 0.35948302 0.73014513]",[7.36292555]
36,36,"[0.61353944 0.33763499 0.82318684 0.53991381 0.43388734 0.78550997
 0.57018809 0.65547822 0.34343568 0.35775157 0.58473465 0.46572626
 0.27173281 0.94014253 0.22927163 0.25790774 0.66274083 0.34886702
 0.35999647 0.93356049 0.21640452 0.06871318 0.16975582 0.67695411
 0.09815207 0.63920833 0.1781602  0.98792192 0.10364632 0.84092204
 0.56991387 0.63818369 0.4531984  0.46411713 0.27649489 0.5350361
 0.49893912 0.10131676 0.43564079 0.74525801 0.48635723 0.83505849
 0.53418333 0.04068959 0.93125436 0.8983192  0.28559498 0.32128093
 0.28716291 0.76527707 0.34991454 0.9393379  0.26930289 0.89001734
 0.48406107 0.87004344 0.3043286  0.21184368 0.79640203 0.83296211]",[11.70889214]
37,37,"[0.43199322 0.955043   0.08245983 0.06602594 0.92861155 0.30585803
 0.29805227 0.35058928 0.95999342 0.75841027 0.08682767 0.54810315
 0.99416177 0.07215647 0.71030183 0.99705882 0.25013255 0.88217262
 0.94355661 0.25518905 0.82729271 0.75319214 0.61860271 0.49727339
 0.77478876 0.2427196  0.80472026 0.14780335 0.64511306 0.45142547
 0.37198654 0.26599611 0.90162948 0.94985343 0.78051802 0.41478857
 0.55640829 0.57724306 0.85567519 0.01979658 0.99099942 0.4088848
 0.49330824 0.75501892 0.07566873 0.06441132 0.60848021 0.97307504
 0.7881147  0.12172432 0.61283019 0.41738971 0.93313524 0.18193237
 0.90054228 0.05197345 0.69417552 0.9407863  0.35929825 0.15962934]",[12.85631376]
38,38,"[0.94818246 0.40950272 0.21276141 0.34942059 0.27386577 0.8785437
 0.98486753 0.16418401 0.96153615 0.14762121 0.43982999 0.90146803
 0.65903665 0.08366159 0.20636033 0.94380668 0.12703817 0.52169611
 0.36459025 0.67680712 0.92108832 0.93641927 0.55435534 0.32308345
 0.41885504 0.64713946 0.81852969 0.16673273 0.75771922 0.06136026
 0.52093094 0.99073793 0.14625193 0.80488465 0.92856601 0.8062747
 0.68130644 0.2096884  0.00580961 0.97667036 0.86493871 0.75006492
 0.70660167 0.63044182 0.32191856 0.73929902 0.59952678 0.57721163
 0.24644927 0.34611133 0.37506313 0.52832514 0.08395059 0.3311031
 0.38079221 0.8693073  0.11748638 0.1707932  0.22600527 0.32609212]",[20.69394797]
39,39,"[0.40820959 0.70815234 0.96751096 0.93669469 0.64227487 0.47252643
 0.43132074 0.55932282 0.29615518 0.9531549  0.52763593 0.12661312
 0.40613856 0.85446865 0.77846685 0.02135209 0.65811767 0.15219677
 0.55625517 0.25006787 0.1480599  0.24551462 0.15395664 0.92590481
 0.68540816 0.00191209 0.3386472  0.63171329 0.20883776 0.68017575
 0.1093155  0.37332465 0.90268201 0.26318667 0.33215909 0.30190593
 0.31388752 0.82985449 0.7569938  0.14947707 0.28768106 0.03921765
 0.10368734 0.34885339 0.97480056 0.11239786 0.47800817 0.03650188
 0.79837567 0.97238014 0.78735624 0.28357835 0.9610918  0.88825298
 0.93399123 0.14682287 0.78870158 0.77451081 0.70072467 0.65462786]",[10.24561524]
40,40,"[0.17329495 0.64292916 0.06111182 0.25330983 0.04170181 0.43371029
 0.01513448 0.63849493 0.91310426 0.35535738 0.92032805 0.69735311
 0.96523886 0.23042654 0.48493532 0.17122776 0.07925962 0.82602973
 0.06339088 0.87986937 0.75413416 0.7563269  0.19589598 0.68676586
 0.00884604 0.09948159 0.98623283 0.99094767 0.7839606  0.30936847
 0.47236288 0.86806793 0.30104562 0.07785385 0.08187634 0.08467673
 0.23585981 0.59218307 0.31721547 0.052797   0.18705737 0.78765619
 0.30747488 0.34722413 0.24594872 0.47173076 0.71958473 0.45812615
 0.03277244 0.93459565 0.88938744 0.98304441 0.92232191 0.52876625
 0.27893224 0.18482427 0.86854423 0.18292524 0.83480999 0.880502  ]",[0.14132021]
41,41,"[0.17329495 0.76299486 0.28665597 0.54068434 0.03745629 0.43371029
 0.01513448 0.64923556 0.80246377 0.49384948 0.89074004 0.8311126
 0.96523886 0.38915057 0.48493532 0.17122776 0.07925962 0.82602973
 0.06339088 0.86847238 0.85641637 0.7563269  0.2816878  0.59582071
 0.00884604 0.09948159 0.98623283 0.99094767 0.66915471 0.3290861
 0.59807898 0.70320198 0.30104562 0.07785385 0.08187634 0.03515102
 0.23585981 0.59218307 0.42177495 0.052797   0.44528731 0.78765619
 0.49025236 0.34722413 0.24594872 0.47173076 0.71958473 0.45812615
 0.03277244 0.93459565 0.80499592 0.78786138 0.92232191 0.52876625
 0.21085743 0.18482427 0.91104183 0.28296392 0.83480999 0.880502  ]",[3.58672351]
42,42,"[0.17329495 0.76299486 0.44537053 0.25330983 0.04170181 0.43371029
 0.01513448 0.64923556 0.91310426 0.49384948 0.92032805 0.8311126
 0.96523886 0.23042654 0.48493532 0.17122776 0.07925962 0.85345002
 0.06339088 0.86847238 0.89866208 0.7563269  0.19589598 0.68676586
 0.08231109 0.09948159 0.98623283 0.97554377 0.7839606  0.07949062
 0.51162994 0.70320198 0.30104562 0.21364558 0.08187634 0.07286484
 0.23585981 0.59218307 0.31721547 0.052797   0.34008344 0.59506886
 0.61438119 0.34722413 0.24594872 0.47173076 0.71958473 0.45812615
 0.06257732 0.93459565 0.80499592 0.67149401 0.92232191 0.52876625
 0.27893224 0.18482427 0.86854423 0.18292524 0.83480999 0.60426689]",[4.87613128]
43,43,"[0.31317578 0.76299486 0.18200741 0.25330983 0.14509951 0.43371029
 0.01513448 0.64923556 0.91310426 0.53881097 0.92032805 0.75158665
 0.96523886 0.23042654 0.48493532 0.26705687 0.07925962 0.82602973
 0.06339088 0.86847238 0.81474041 0.86883592 0.19589598 0.62095641
 0.01753137 0.09948159 0.98623283 0.99094767 0.7839606  0.07949062
 0.51162994 0.70320198 0.39388069 0.38859429 0.08187634 0.10291825
 0.23585981 0.59218307 0.31721547 0.052797   0.18705737 0.72103239
 0.49025236 0.34722413 0.24594872 0.47173076 0.72440984 0.45812615
 0.03277244 0.99378715 0.80499592 0.7710433  0.81568547 0.52876625
 0.27893224 0.51910786 0.86854423 0.18292524 0.83480999 0.67256146]",[6.65938202]
44,44,"[0.43758161 0.29905834 0.75427624 0.81328119 0.16928447 0.19859145
 0.9336621  0.70605568 0.84376058 0.23894596 0.40285347 0.68441998
 0.89973071 0.48864801 0.83898117 0.61512778 0.54419066 0.85681709
 0.83446011 0.55186326 0.63783728 0.91740381 0.96652712 0.09248099
 0.39601505 0.18132856 0.33269883 0.61824876 0.57160755 0.68943475
 0.39667261 0.43613135 0.7036473  0.63754985 0.3683351  0.08693175
 0.02402971 0.42319717 0.87842128 0.68620534 0.59544644 0.05705899
 0.57222115 0.66386974 0.33993451 0.54033417 0.94177652 0.53857987
 0.80224418 0.41234896 0.67420186 0.14465838 0.60447957 0.95539434
 0.04032252 0.81508405 0.36333984 0.72516949 0.52886349 0.47617729]",[8.05078299]
45,45,"[0.17329495 0.76299486 0.230054   0.25330983 0.04170181 0.43371029
 0.01513448 0.26809365 0.91310426 0.79496837 0.93671335 0.8311126
 0.96523886 0.23042654 0.48493532 0.17122776 0.07925962 0.82602973
 0.06339088 0.86847238 0.89866208 0.7563269  0.19589598 0.68676586
 0.23263168 0.09948159 0.98623283 0.99094767 0.7839606  0.07949062
 0.51162994 0.70320198 0.11350258 0.07785385 0.08187634 0.07286484
 0.23585981 0.59218307 0.31721547 0.052797   0.18705737 0.78765619
 0.59429997 0.34722413 0.24594872 0.73456669 0.71958473 0.74564682
 0.11264774 0.93459565 0.80499592 0.97097227 0.92232191 0.52876625
 0.27893224 0.18482427 0.86854423 0.26813778 0.76853371 0.880502  ]",[2.55572021]
46,46,"[0.17906957 0.76299486 0.28665597 0.25330983 0.04170181 0.43371029
 0.01513448 0.45231035 0.91310426 0.49384948 0.67563731 0.8311126
 0.96523886 0.23042654 0.48493532 0.1295968  0.07925962 0.82602973
 0.28819984 0.86847238 0.89866208 0.7563269  0.19589598 0.68676586
 0.13687588 0.09948159 0.98623283 0.91237719 0.7839606  0.07949062
 0.51162994 0.88352219 0.30104562 0.07785385 0.08187634 0.03606434
 0.23585981 0.50673722 0.31721547 0.052797   0.18705737 0.78765619
 0.19507234 0.26460123 0.24594872 0.81911278 0.71958473 0.45812615
 0.03277244 0.93459565 0.80499592 0.98304441 0.94085227 0.52876625
 0.58551357 0.18482427 0.86854423 0.18292524 0.83480999 0.880502  ]",[0.19034287]
47,47,"[0.17329495 0.76299486 0.28665597 0.25330983 0.04170181 0.44278554
 0.01513448 0.26318581 0.91310426 0.49384948 0.92032805 0.63142869
 0.96523886 0.23042654 0.48493532 0.12663785 0.07925962 0.71451283
 0.06339088 0.86847238 0.89866208 0.7563269  0.19589598 0.68676586
 0.18869169 0.09948159 0.98623283 0.88155105 0.7839606  0.07949062
 0.51162994 0.70320198 0.30104562 0.07785385 0.08187634 0.07286484
 0.23585981 0.60916842 0.31721547 0.12139628 0.0260519  0.78765619
 0.49025236 0.34722413 0.24594872 0.47173076 0.71958473 0.45812615
 0.08121869 0.93459565 0.80499592 0.98844692 0.92232191 0.52876625
 0.27893224 0.18482427 0.86854423 0.10206055 0.83480999 0.880502  ]",[0.160145]
48,48,"[0.29219244 0.76299486 0.28665597 0.02941669 0.04170181 0.43371029
 0.01513448 0.64923556 0.75841178 0.49384948 0.71458852 0.8311126
 0.96523886 0.23042654 0.48493532 0.17122776 0.07925962 0.61715958
 0.06339088 0.86847238 0.89866208 0.7563269  0.19589598 0.68676586
 0.00884604 0.09948159 0.98623283 0.99094767 0.7839606  0.00106993
 0.51162994 0.70320198 0.30104562 0.29222458 0.3603373  0.05226831
 0.35502604 0.35352906 0.33134864 0.052797   0.18705737 0.95923892
 0.49025236 0.34722413 0.24594872 0.47173076 0.71958473 0.45812615
 0.20189655 0.93508179 0.80499592 0.98304441 0.92232191 0.52876625
 0.27893224 0.15641706 0.86854423 0.18292524 0.73313971 0.880502  ]",[2.04069322]
49,49,"[0.17329495 0.76299486 0.28665597 0.45950812 0.04170181 0.43371029
 0.01513448 0.64923556 0.91156113 0.43659267 0.92032805 0.8311126
 0.96523886 0.58184508 0.48493532 0.17122776 0.07925962 0.82602973
 0.06339088 0.75335628 0.89866208 0.7563269  0.48748535 0.68676586
 0.00884604 0.09948159 0.98623283 0.99094767 0.7839606  0.13719904
 0.51162994 0.70320198 0.30104562 0.20626081 0.08187634 0.07286484
 0.23585981 0.59218307 0.31721547 0.052797   0.18705737 0.78765619
 0.27411929 0.34722413 0.24594872 0.47173076 0.78360691 0.45812615
 0.03277244 0.93459565 0.80499592 0.98304441 0.92232191 0.52876625
 0.27893224 0.18482427 0.93033427 0.18292524 0.83480999 0.880502  ]",[2.32765727]
50,50,"[0.17329495 0.64292916 0.16074566 0.75365687 0.04170181 0.1970517
 0.01513448 0.63849493 0.45068026 0.35535738 0.92032805 0.69735311
 0.96523886 0.23042654 0.43754835 0.18220888 0.07925962 0.49154208
 0.63878125 0.87986937 0.75413416 0.7563269  0.19589598 0.72613661
 0.00884604 0.09948159 0.98623283 0.99094767 0.83922062 0.30936847
 0.47236288 0.86806793 0.30104562 0.07785385 0.08187634 0.36956097
 0.18843725 0.20421119 0.47463917 0.47622936 0.18705737 0.78765619
 0.30747488 0.34722413 0.24594872 0.47173076 0.71958473 0.45812615
 0.47641951 0.93459565 0.88938744 0.98304441 0.92232191 0.56684802
 0.40902123 0.18482427 0.53840504 0.18292524 0.83480999 0.880502  ]",[3.42530214]
51,51,"[0.17329495 0.64292916 0.3350702  0.25330983 0.04170181 0.43371029
 0.01513448 0.63849493 0.91310426 0.35535738 0.93943886 0.69735311
 0.96523886 0.23042654 0.48493532 0.17122776 0.07925962 0.69123804
 0.56142958 0.87986937 0.81232031 0.72485059 0.53528502 0.68676586
 0.13171637 0.09948159 0.98623283 0.44785093 0.7839606  0.30936847
 0.90172327 0.86806793 0.30104562 0.07785385 0.08187634 0.14486258
 0.23585981 0.59218307 0.31721547 0.04177803 0.18705737 0.78765619
 0.30747488 0.70275839 0.24594872 0.05667334 0.62740945 0.45812615
 0.14379842 0.93459565 0.89968995 0.98304441 0.92232191 0.52876625
 0.27893224 0.01488696 0.86854423 0.18292524 0.89696767 0.880502  ]",[-0.72932297]
52,52,"[0.15702763 0.64292916 0.27534601 0.25330983 0.20607498 0.43371029
 0.01178453 0.31148697 0.49154784 0.35535738 0.92032805 0.69735311
 0.98998414 0.23042654 0.48493532 0.17122776 0.07925962 0.82602973
 0.06339088 0.3221935  0.75413416 0.7563269  0.42645916 0.35005676
 0.21080458 0.09948159 0.99761935 0.99094767 0.7839606  0.30936847
 0.47236288 0.86806793 0.30104562 0.07785385 0.08187634 0.0216779
 0.23585981 0.59218307 0.76121904 0.10697299 0.18705737 0.78765619
 0.22844694 0.34722413 0.24594872 0.62561494 0.57387879 0.45812615
 0.03277244 0.93459565 0.88938744 0.98304441 0.92232191 0.5615059
 0.07888087 0.05384216 0.86854423 0.18292524 0.83480999 0.60294919]",[2.83113616]
53,53,"[0.50951422 0.64292916 0.06111182 0.25330983 0.04170181 0.43371029
 0.01513448 0.63849493 0.91310426 0.10497083 0.92032805 0.99427288
 0.991514   0.23042654 0.48493532 0.17122776 0.05002558 0.55621363
 0.53397634 0.87986937 0.75413416 0.50859811 0.19589598 0.68676586
 0.00884604 0.09948159 0.98623283 0.82511885 0.7839606  0.30936847
 0.47236288 0.95816709 0.30104562 0.07785385 0.08187634 0.05566349
 0.73996493 0.59218307 0.31721547 0.20277495 0.04109179 0.78765619
 0.30747488 0.34722413 0.24594872 0.47173076 0.71958473 0.27109459
 0.03277244 0.93459565 0.88938744 0.98304441 0.92232191 0.52876625
 0.27893224 0.18482427 0.86854423 0.18292524 0.83480999 0.880502  ]",[1.59398842]
54,54,"[0.61204855 0.64292916 0.24089027 0.51206685 0.04170181 0.47429711
 0.01506303 0.32041353 0.91310426 0.35535738 0.4882153  0.69735311
 0.96523886 0.23042654 0.48493532 0.17122776 0.09000192 0.33468719
 0.65830823 0.87986937 0.75413416 0.7563269  0.19589598 0.68676586
 0.00884604 0.09948159 0.98623283 0.48086385 0.19878051 0.13979572
 0.29218924 0.86806793 0.30104562 0.07785385 0.45227488 0.08467673
 0.50450053 0.99963629 0.45929619 0.052797   0.53355414 0.75748838
 0.30747488 0.76324968 0.24594872 0.47173076 0.71958473 0.45812615
 0.03277244 0.93459565 0.88938744 0.98304441 0.92232191 0.52876625
 0.27893224 0.18482427 0.86854423 0.18292524 0.83480999 0.880502  ]",[7.99610331]
55,55,"[0.46304737 0.64292916 0.06111182 0.25330983 0.04170181 0.77132553
 0.01513448 0.63849493 0.91310426 0.35535738 0.92032805 0.69735311
 0.93809295 0.23042654 0.48493532 0.17122776 0.07925962 0.82602973
 0.58533308 0.87986937 0.29184583 0.74462687 0.19589598 0.68676586
 0.00884604 0.09948159 0.98623283 0.99094767 0.7839606  0.30936847
 0.47236288 0.86806793 0.18471466 0.07785385 0.29358611 0.08467673
 0.44085293 0.59218307 0.31721547 0.052797   0.37880598 0.78765619
 0.61085629 0.34722413 0.24594872 0.23971817 0.71958473 0.28434962
 0.15179262 0.83020778 0.88938744 0.98304441 0.92232191 0.52876625
 0.83930357 0.18482427 0.86854423 0.64637703 0.83480999 0.9227656 ]",[-1.60959609]
56,56,"[0.17329495 0.64292916 0.06111182 0.25330983 0.04170181 0.11594101
 0.01513448 0.63849493 0.91310426 0.51223397 0.38051755 0.58640421
 0.96523886 0.23042654 0.48493532 0.17122776 0.09470001 0.82602973
 0.20384248 0.87986937 0.95831871 0.7563269  0.19589598 0.77149694
 0.00884604 0.09948159 0.95656047 0.99094767 0.90904106 0.30936847
 0.47236288 0.86806793 0.30104562 0.67452784 0.08187634 0.08467673
 0.56755879 0.59218307 0.23507548 0.33418689 0.46105106 0.81494145
 0.29719456 0.34722413 0.24594872 0.47173076 0.71958473 0.45812615
 0.13955255 0.93459565 0.94430718 0.98304441 0.89008577 0.52876625
 0.69382905 0.18482427 0.86854423 0.47387281 0.83480999 0.880502  ]",[1.46922811]
57,57,"[0.27191667 0.64292916 0.06111182 0.25330983 0.04170181 0.43371029
 0.01513448 0.63849493 0.91310426 0.35535738 0.92032805 0.69735311
 0.96523886 0.23042654 0.48493532 0.17122776 0.07925962 0.82602973
 0.06339088 0.496899   0.75413416 0.64608898 0.19589598 0.68676586
 0.00884604 0.09948159 0.98623283 0.99094767 0.7839606  0.10693292
 0.47236288 0.86806793 0.30104562 0.07785385 0.08187634 0.35794995
 0.23585981 0.59218307 0.31721547 0.052797   0.18705737 0.78765619
 0.30747488 0.34722413 0.24594872 0.47173076 0.71958473 0.45812615
 0.03277244 0.67860511 0.88933499 0.76389951 0.92232191 0.52876625
 0.43510823 0.2240356  0.86854423 0.06357758 0.83480999 0.880502  ]",[1.21629641]
58,58,"[0.17329495 0.64292916 0.06111182 0.25330983 0.04170181 0.87636441
 0.01513448 0.63849493 0.91310426 0.35535738 0.92032805 0.69735311
 0.96523886 0.23042654 0.48493532 0.17122776 0.07925962 0.82602973
 0.06339088 0.5831758  0.75413416 0.7563269  0.19589598 0.68676586
 0.00884604 0.08429695 0.98623283 0.99094767 0.7839606  0.30936847
 0.47236288 0.86806793 0.30104562 0.44813491 0.08187634 0.14699935
 0.23585981 0.59218307 0.31721547 0.48699356 0.18705737 0.9672212
 0.61590568 0.75534851 0.25217157 0.47173076 0.95232981 0.45812615
 0.32993668 0.93459565 0.86734277 0.98304441 0.77830445 0.56508081
 0.27893224 0.18482427 0.66981486 0.55678806 0.83480999 0.54699223]",[8.06655425]
59,59,"[0.21372488 0.64292916 0.06111182 0.25330983 0.24438821 0.43371029
 0.05211271 0.75081117 0.91310426 0.35535738 0.92032805 0.69735311
 0.95582475 0.59004552 0.48493532 0.11665918 0.09674615 0.82602973
 0.44086924 0.87986937 0.75413416 0.7563269  0.19589598 0.68676586
 0.00884604 0.09948159 0.98623283 0.7705661  0.7839606  0.30936847
 0.47236288 0.86806793 0.30104562 0.07785385 0.38867676 0.26757174
 0.23585981 0.59218307 0.31721547 0.052797   0.18705737 0.78765619
 0.30747488 0.131546   0.24594872 0.20463447 0.71958473 0.45812615
 0.03277244 0.85853994 0.88938744 0.98304441 0.92232191 0.52876625
 0.27893224 0.18482427 0.86854423 0.18292524 0.6004454  0.34887178]",[7.85054998]
60,60,"[0.46304737 0.64292916 0.06111182 0.25330983 0.04170181 0.77132553
 0.01551443 0.63849493 0.84836025 0.35535738 0.88489793 0.69735311
 0.99506532 0.23850533 0.47741043 0.17122776 0.3555109  0.82602973
 0.58533308 0.87986937 0.29184583 0.74462687 0.19589598 0.68676586
 0.00884604 0.09948159 0.98623283 0.8661132  0.7839606  0.42001123
 0.47236288 0.90052828 0.18471466 0.05269357 0.04122779 0.08467673
 0.02628809 0.39281988 0.31721547 0.53671622 0.42456176 0.31831549
 0.61085629 0.34722413 0.24594872 0.23971817 0.71958473 0.02975921
 0.15179262 0.83020778 0.44403627 0.98304441 0.92232191 0.52876625
 0.81884808 0.4227262  0.86854423 0.64637703 0.83480999 0.9227656 ]",[0.23265861]
61,61,"[0.46304737 0.64292916 0.06111182 0.2245094  0.29786387 0.72808758
 0.01782848 0.514268   0.91310426 0.35535738 0.92032805 0.71186599
 0.65079409 0.23042654 0.48493532 0.17122776 0.07925962 0.82602973
 0.58533308 0.87986937 0.79299682 0.74462687 0.19589598 0.68676586
 0.00884604 0.09948159 0.98623283 0.57496187 0.7839606  0.30936847
 0.47236288 0.86806793 0.18471466 0.07785385 0.29358611 0.11965985
 0.53265621 0.88365165 0.31721547 0.052797   0.80557736 0.78765619
 0.36367829 0.34722413 0.01912725 0.55568492 0.71958473 0.28434962
 0.58370627 0.7081307  0.88938744 0.98304441 0.92232191 0.82509343
 0.83930357 0.38382735 0.86854423 0.64637703 0.83480999 0.9227656 ]",[0.40084226]
62,62,"[0.46304737 0.64292916 0.11380258 0.25330983 0.32971751 0.77132553
 0.01513448 0.63849493 0.91310426 0.35535738 0.53823425 0.77111262
 0.93809295 0.23042654 0.48493532 0.17122776 0.07925962 0.82602973
 0.34542406 0.87986937 0.29184583 0.82714775 0.19589598 0.68676586
 0.00884604 0.09948159 0.98623283 0.65802138 0.7839606  0.73208188
 0.47236288 0.86806793 0.18471466 0.61702468 0.08463108 0.08467673
 0.44085293 0.63052178 0.75855072 0.052797   0.37880598 0.78765619
 0.61085629 0.21824233 0.24594872 0.23971817 0.71958473 0.28434962
 0.30921544 0.79271245 0.53313498 0.98304441 0.92232191 0.77290193
 0.66597885 0.18482427 0.86854423 0.64637703 0.83480999 0.9227656 ]",[4.92601766]
63,63,"[0.46304737 0.64292916 0.06111182 0.16412466 0.04170181 0.38768572
 0.01513448 0.36146536 0.91310426 0.35535738 0.90302579 0.69735311
 0.74888892 0.23042654 0.48493532 0.04775995 0.07925962 0.82602973
 0.58533308 0.87986937 0.57559825 0.29859448 0.19589598 0.68676586
 0.428194   0.18278293 0.98623283 0.72650838 0.7839606  0.57754101
 0.47236288 0.67743358 0.6726135  0.07785385 0.66470347 0.08467673
 0.44085293 0.59218307 0.31721547 0.052797   0.37880598 0.78765619
 0.16088723 0.34722413 0.24594872 0.23971817 0.32845667 0.40223933
 0.10338919 0.83020778 0.88938744 0.96578382 0.92232191 0.14084925
 0.83930357 0.05989811 0.86854423 0.64637703 0.83480999 0.9227656 ]",[-7.29644321]
64,64,"[0.46304737 0.64292916 0.06111182 0.78281927 0.04170181 0.77132553
 0.01513448 0.63849493 0.91310426 0.07451247 0.92032805 0.54142676
 0.93809295 0.23042654 0.4733093  0.17122776 0.07925962 0.65088705
 0.58533308 0.72919851 0.48447626 0.74462687 0.53712603 0.68676586
 0.00884604 0.09948159 0.98623283 0.99094767 0.7839606  0.30936847
 0.47236288 0.67333786 0.03445375 0.07785385 0.32734881 0.08467673
 0.44085293 0.59218307 0.31721547 0.42231837 0.37880598 0.78765619
 0.61085629 0.74553769 0.24594872 0.48598924 0.70545753 0.28434962
 0.15179262 0.54363275 0.83156826 0.98304441 0.92232191 0.52876625
 0.83930357 0.18482427 0.86854423 0.64637703 0.83480999 0.9227656 ]",[1.81674048]
65,65,"[0.46304737 0.64292916 0.12847117 0.03156776 0.1889475  0.77132553
 0.01055496 0.33174692 0.91310426 0.34627627 0.8915511  0.69735311
 0.93809295 0.42056176 0.48493532 0.17122776 0.07925962 0.82602973
 0.58533308 0.86781432 0.29184583 0.74462687 0.00954347 0.68676586
 0.2848004  0.09948159 0.95959925 0.99094767 0.7839606  0.30936847
 0.8461408  0.86806793 0.33029294 0.07785385 0.29358611 0.36162412
 0.44085293 0.8756946  0.31721547 0.052797   0.37880598 0.78765619
 0.61085629 0.34722413 0.24594872 0.23971817 0.71958473 0.40104111
 0.15179262 0.83020778 0.91071381 0.67465428 0.92232191 0.52876625
 0.72368204 0.18482427 0.82346836 0.31236219 0.83480999 0.97951772]",[-0.40790104]
