,evals,X,fX
0,0,[-0.15621291 -0.51070875  0.30226361  0.80702268],[-4.33970414]
1,1,[ 0.52160434  0.14259934 -0.4598804  -0.17387192],[-2.97159572]
2,2,[ 0.80656063  0.61403159 -0.95415555 -0.83826274],[174.57714984]
3,3,[-0.63183163  0.98157142 -0.83778457 -0.96318328],[169.1062056]
4,4,[ 0.98986289  0.99737392 -0.90501544 -0.82880185],[313.83186707]
5,5,[ 0.83478646  0.97320661  0.55496554 -0.99911423],[182.08475137]
6,6,[ 0.64829747  0.1923343  -0.17464092  0.39828168],[-6.48280478]
7,7,[ 0.90773024  0.98809233 -0.40238765 -0.9424761 ],[231.20789209]
8,8,[ 0.97523084  0.98088168 -0.80452584 -0.57432806],[187.01512137]
9,9,[-0.97188607  0.80794987  0.95057292 -0.84185219],[239.63161186]
10,10,[-0.52854641 -0.54191128  0.9901292  -0.96304733],[91.01364366]
11,11,[-0.37250385  0.9587609   0.96812157 -0.16985969],[53.75610779]
12,12,[-0.79444566  0.78764731  0.25160018 -0.9048614 ],[42.78353907]
13,13,[-0.00130089  0.97341526 -0.95671021 -0.84196979],[138.0306454]
14,14,[ 0.81456256 -0.16497391  0.73241385 -0.93089185],[24.68863248]
15,15,[-0.95673339 -0.39921928 -0.9763121  -0.77364305],[113.84803798]
16,16,[-0.99503688  0.8908435  -0.9881796   0.32307932],[159.01961286]
17,17,[-0.897324   -0.1056044  -0.91780678  0.59794236],[39.83921922]
18,18,[ 0.94236802  0.92516138 -0.79118249 -0.96935897],[264.98842479]
19,19,[-0.97740606 -0.01879044  0.79255442 -0.53000256],[20.26640384]
20,20,[ 0.31095261 -0.95668107 -0.96159586 -0.7333034 ],[138.88207836]
21,21,[ 0.89891546 -0.96081488 -0.945389    0.49447354],[232.42699198]
22,22,[ 0.82858169 -0.99708706 -0.65508477 -0.05102049],[73.20991584]
23,23,[ 0.43829875 -0.84557775 -0.99987608  0.73160973],[202.1545485]
24,24,[ 0.93590572 -0.90066307 -0.76387704  0.89309631],[222.60807633]
25,25,[ 0.6966077  -0.36436228 -0.97375883  0.96708994],[128.06938611]
26,26,[-0.6496701  -0.92952909 -0.10050401 -0.89145996],[26.30511047]
27,27,[-0.69557565  0.56353672 -0.93393523 -0.34143496],[5.14516824]
28,28,[-0.15501099  0.88282927  0.87285065 -0.9642849 ],[159.8791645]
29,29,[-0.87104169  0.90801246 -0.54171981  0.93504674],[173.91057219]
30,30,[-0.14633346  0.75968531 -0.91929696  0.97706519],[121.80105907]
31,31,[-0.48539096 -0.97617609 -0.88330285 -0.13891619],[65.76430647]
32,32,[ 0.97470329 -0.85954695  0.91932006  0.80963182],[174.88267923]
33,33,[ 0.89261377 -0.91861248  0.07615037  0.7779522 ],[40.69082697]
34,34,[ 0.88618196 -0.01991764  0.98419797  0.69871318],[35.88096267]
35,35,[ 0.55155448 -0.95025237  0.91827388 -0.0693027 ],[51.59046203]
36,36,[-0.78143251  0.67072436  0.74480468  0.94436112],[128.61580233]
37,37,[-0.02025326  0.87019471  0.20490982  0.98093207],[-0.5523431]
38,38,[ 0.73246304  0.96448096 -0.96533811 -0.89146582],[259.64746025]
39,39,[-0.8072661  -0.9537302   0.99474254  0.68925638],[298.40523197]
40,40,[-0.99047753 -0.67099796  0.93254127  0.97222569],[308.94277833]
41,41,[-0.93938299 -0.98098398  0.79912123  0.95000061],[357.84415771]
42,42,[-0.98210026 -0.92516126  0.19900725  0.59348826],[107.22395056]
