,evals,X,fX
79,79,[-0.97067742 -0.99318479  0.84706822 -0.84570695],[348.69923772]
80,80,[ 0.89378531 -0.81025839 -0.96292596  0.92189056],[191.05513117]
81,81,[ 0.76996044 -0.75601881 -0.81530063  0.29359564],[64.17905841]
82,82,[ 0.72918    -0.31688571 -0.84383006  0.99920651],[96.61640411]
83,83,[-0.98097197  0.81028764 -0.98894233 -0.19344089],[155.38005694]
84,84,[ 0.73426192 -0.87670481 -0.3481049   0.94745754],[96.67047173]
85,85,[-0.98991823 -0.5600888  -0.77592129 -0.27664065],[79.73618037]
86,86,[-0.96470799 -0.43002191  0.95710205  0.25907268],[20.49166261]
87,87,[ 0.8669305  -0.90495513  0.1800687  -0.22700697],[12.27226924]
88,88,[-0.99752296 -0.96471956  0.57391139 -0.92520095],[373.26969445]
89,89,[ 0.45792599 -0.86492834 -0.89615014  0.98284879],[109.18508428]
90,90,[ 0.93098947  0.38405938  0.36829924 -0.86959465],[35.25121222]
91,91,[-0.97108805 -0.94015251  0.76174059 -0.99876216],[360.66698632]
92,92,[-0.24198171 -0.64023247 -0.95461806 -0.9718917 ],[61.40435109]
93,93,[-0.29315473 -0.99779252 -0.49044736 -0.18398591],[11.60904072]
94,94,[-0.61759394  0.90663058 -0.99807663 -0.5884926 ],[99.67641407]
95,95,[ 0.89973811  0.42268372 -0.98513973 -0.11415132],[27.48848867]
96,96,[-0.02071897 -0.98662402  0.87470601  0.4210756 ],[21.43884607]
97,97,[-0.88445008  0.99762578  0.2164865   0.10600013],[63.8720326]
98,98,[-0.87616579  0.9806754   0.98654526  0.62112826],[175.53413]
99,99,[-0.50531654  0.92056585  0.6353035   0.77836328],[21.5475438]
100,100,[-0.57691017  0.95450707  0.89152317  0.04318401],[48.06238088]
101,101,[ 0.72841874  0.91836161 -0.92192039  0.98688322],[265.27672498]
