,evals,X,fX
38,38,"[ 0.18831662  0.45572489 -2.68064322 -0.27327368  4.46287792 -2.72452762
  1.48023155  0.67162078 -1.6348351   0.44263144]",[8.74972362]
39,39,"[ 0.17437258  0.32564356  0.70782309  0.22006193 -3.40932927 -0.99946177
  0.29485217 -0.08854932 -2.72367492  0.62307759]",[6.79439487]
40,40,"[ 1.27110571e-01 -5.67768807e-01  1.03955579e+00  3.83433349e-03
 -2.62508899e-01  2.18882708e+00 -6.45060427e-01  3.16286675e-01
 -7.78007000e-01 -4.85462078e+00]",[7.452256]
41,41,"[ 0.06970288  0.74004266 -0.80229662  0.42043541  3.92986083  3.11775489
  1.72169015  1.23150598 -0.06212603 -0.18574602]",[7.28364558]
42,42,"[ 0.27175291  1.18820213  0.16226845  0.42876418 -0.21050043  1.34099123
 -0.43784019  0.03964785 -1.16776423 -1.3397512 ]",[4.81941196]
43,43,"[ 0.63625429 -0.41017221 -0.2520752  -0.05509555  0.89214751  0.5020579
 -2.89708963 -0.92624669 -1.26755651  0.39467055]",[5.75430728]
44,44,"[-1.35102905 -0.62488748  0.99740449  0.53792748  0.08200852  1.56690948
 -2.87603933 -1.21289345 -1.58383657 -0.26694182]",[6.58308968]
45,45,"[ 0.73775792  0.45426355  0.25555869 -0.53866722 -0.37229061  0.92440671
  1.6091937  -0.3260539  -1.24966479  0.07285674]",[4.86329909]
46,46,"[-0.76271097  2.03762065 -0.8471163   1.63107361 -0.23200182  0.39909192
 -0.88985367 -0.25170429 -0.75639278 -0.33146257]",[5.26313549]
47,47,"[ 1.48166124 -1.51359438 -0.67552425 -0.69780136 -1.76289757  1.03398105
 -2.35784253  0.82895745 -1.04721047 -0.42137778]",[6.48712862]
48,48,"[ 1.20116336  0.55307888  0.20126706  0.9412821  -1.16651024 -0.59812332
 -1.98279013 -0.5436506  -2.34645966 -1.26079657]",[6.18603577]
49,49,"[ 2.12265655 -0.5632799   0.59850595 -0.30566961  0.14069162 -1.3462855
  0.63712036 -2.02178201 -1.21078416 -0.05006889]",[5.78189649]
50,50,"[-1.20509504 -0.04809526  0.01377804 -0.86644219 -0.20029915 -1.37981958
 -1.33630363  1.3624442  -1.62937601 -0.6384862 ]",[5.48215712]
51,51,"[ 0.85292592  1.01292613 -0.26237821  0.51574564 -0.42767589 -0.30449954
 -2.74284664 -0.5310055  -0.98464758 -0.69970228]",[5.69784897]
52,52,"[-0.15101361  0.6484694  -0.24610093  0.39556975  0.14102805 -0.12089169
  0.09570912 -0.97518405 -1.67328829  0.07748682]",[3.89474723]
53,53,"[ 0.34372449 -0.19820229  0.68113013  0.06668572 -0.67655212 -0.11828348
 -0.259619    0.40020008 -1.43143366 -0.28009622]",[4.0679119]
54,54,"[ 0.4864667   0.94155089 -0.61366303  0.14390117  0.09672202 -0.09286736
 -0.56571951 -0.12782086 -1.47820675 -0.72044665]",[4.24397752]
55,55,"[ 0.45838412  0.813627   -0.51298709  0.32358949 -0.36040053 -0.30193272
 -0.45164984  0.30089272 -1.21292166  0.09445227]",[4.14192538]
56,56,"[ 0.15599492  0.62563059  0.34960821  0.46732679 -0.2590313   0.40095455
 -0.17516233 -0.80777089 -1.3970931  -0.0410525 ]",[4.13430055]
57,57,"[-0.32032617 -0.41693066  0.10446657 -0.1543355  -0.07722479  0.58527686
 -0.42122175  0.36951281 -1.40899806 -0.78421824]",[4.16171996]
58,58,"[ 0.69182942  0.18126218 -0.58294515 -0.16463019 -0.51698842  0.14880637
 -1.02599473  0.32461214 -1.26245719 -0.03793646]",[3.99649143]
59,59,"[ 0.09098464  0.34952271 -0.40777676  0.12223694 -0.13202331 -1.38963669
  0.03344133 -0.31383837 -1.22383298 -0.23689001]",[3.97868976]
60,60,"[ 1.08134232  1.27209514  0.575316   -0.35136141 -0.36509051 -0.61541576
 -0.12082462  0.70540948 -1.54944145 -0.02506368]",[4.88610323]
61,61,"[ 0.01232754  0.09417149  0.69337133 -0.23684525  0.15365165 -0.80350111
 -0.07915789  0.18375802 -1.14701396 -0.16433817]",[3.03095341]
62,62,"[-0.09921584 -0.25932405  1.54675968 -0.55212737 -0.10101196 -0.6482548
  0.31562173 -0.78328512 -0.36262812  0.19317412]",[4.25242202]
63,63,"[ 0.44944953  0.27545598  1.75203488 -1.27713277  0.24715561 -0.16332757
 -0.63771044  0.42232441 -0.60899362  0.8150725 ]",[4.96762113]
64,64,"[ 0.03149684 -0.39426883  0.98579431 -0.23841596  0.66811327  0.19599258
 -0.30387588  1.06060924 -0.3301238   0.91478157]",[3.81673354]
65,65,"[-0.49840535 -0.33131314  0.3466991  -0.36091009 -0.40011551  0.32162691
 -0.04619767 -0.54661759 -1.11305668  0.39092762]",[3.97191378]
66,66,"[ 0.09064054  0.40655109 -0.63352069 -1.13748818  0.4903636   0.07428335
 -0.631772   -0.70335126 -1.87523009  0.5932269 ]",[4.88839263]
67,67,"[ 0.16117148  0.20054061  2.17521058 -0.25024719  0.19158311 -0.60361385
 -0.58939895 -0.3175897  -1.98897633 -0.94887948]",[5.26855534]
68,68,"[-0.23600546  0.37704494  2.08585705 -0.7047485   0.37929392 -0.18947334
  0.30603341 -0.53673564 -0.55811523  0.67934298]",[4.93673955]
69,69,"[ 0.2418246  -0.29208968  1.24553752 -0.80431531  0.38732828  0.14907365
  0.56918978  0.18838128 -0.88817903  0.77428604]",[4.12857333]
70,70,"[-0.16727463 -0.21353878 -0.17571687 -0.24865475 -0.03381351 -0.16839295
  0.52912366  1.11784946 -0.48902508  0.33879047]",[3.3697588]
71,71,"[-0.49976388 -0.72005902  1.2826264  -1.00602721  0.91246496  0.16635443
  0.42593196 -0.19007034 -0.3799924   0.43284734]",[4.42837453]
