,evals,X,fX
81,81,[-3.47752542 -3.63179771  4.94792169  4.49373218],[13.57863864]
82,82,[-4.39690677 -4.59068699  4.0198956   4.94731376],[13.419507]
83,83,[-3.52794465 -3.8834784   3.84198504  4.9279151 ],[12.85742025]
84,84,[-4.7861027  -3.9461008   4.09193516  4.74719446],[13.30337497]
85,85,[-4.99247487 -3.93512542  4.44470381  4.85073561],[13.40233315]
86,86,[-4.81710795 -3.5365031   4.9225908   4.85973154],[13.39533845]
87,87,[-4.2505719  -4.52064223  3.34163896  4.73749989],[13.50500668]
88,88,[-3.65691919 -4.16678719  3.98937994  4.33083606],[12.93271759]
89,89,[-4.90459643 -3.94219924  3.9460948   3.96130079],[11.68549919]
90,90,[-4.52655899 -4.67502158  3.16130675  4.87603195],[13.46190927]
91,91,[-3.55646326 -4.48057983  4.76803239  4.31876684],[13.52750635]
92,92,[-4.36612183 -4.3347544   4.12371599  4.81985879],[13.53059916]
93,93,[-3.99892446 -3.6169781   3.84365847  4.77775222],[12.69464162]
94,94,[-4.0957583  -4.03647872  3.97861408  4.78910709],[12.45766887]
95,95,[-3.85296304 -3.84682358  4.41074216  3.36458637],[12.52063437]
96,96,[-1.75890595 -4.28655308  4.79383135  4.70298514],[12.84416376]
97,97,[-4.41233734 -3.44429821  4.54792905  3.91627895],[13.19012295]
98,98,[-3.14520407 -4.4926987   4.52535631  4.86667256],[13.1016109]
99,99,[-4.70222469 -3.59842005  4.00399504  4.94896937],[13.20223735]
100,100,[-3.48151054 -4.30881343  4.78586298  4.34351453],[13.48019206]
101,101,[-3.10023479 -4.32022814  4.50438078  4.74771458],[13.12764666]
